Round,Race Name,Circuit Name,Locality,Country,Date,Time
1,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,2022-03-20,15:00:00Z
2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,2022-03-27,17:00:00Z
3,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2022-04-10,05:00:00Z
4,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,2022-04-24,13:00:00Z
5,Miami Grand Prix,Miami International Autodrome,Miami,USA,2022-05-08,19:30:00Z
6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,2022-05-22,13:00:00Z
7,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,2022-05-29,13:00:00Z
8,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,2022-06-12,11:00:00Z
9,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,2022-06-19,18:00:00Z
10,British Grand Prix,Silverstone Circuit,Silverstone,UK,2022-07-03,14:00:00Z
11,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,2022-07-10,13:00:00Z
12,French Grand Prix,Circuit Paul Ricard,Le Castellet,France,2022-07-24,13:00:00Z
13,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,2022-07-31,13:00:00Z
14,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,2022-08-28,13:00:00Z
15,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,2022-09-04,13:00:00Z
16,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,2022-09-11,13:00:00Z
17,Singapore Grand Prix,Marina Bay Street Circuit,Marina Bay,Singapore,2022-10-02,12:00:00Z
18,Japanese Grand Prix,Suzuka Circuit,Suzuka,Japan,2022-10-09,05:00:00Z
19,United States Grand Prix,Circuit of the Americas,Austin,USA,2022-10-23,19:00:00Z
20,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,2022-10-30,20:00:00Z
21,São Paulo Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,2022-11-13,18:00:00Z
22,Abu Dhabi Grand Prix,Yas Marina Circuit,Abu Dhabi,UAE,2022-11-20,13:00:00Z
