Round,Race Name,Circuit Name,Locality,Country,Date,Time
1,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,2020-07-05,13:10:00Z
2,Styrian Grand Prix,Red Bull Ring,Spielberg,Austria,2020-07-12,13:10:00Z
3,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,2020-07-19,13:10:00Z
4,British Grand Prix,Silverstone Circuit,Silverstone,UK,2020-08-02,13:10:00Z
5,70th Anniversary Grand Prix,Silverstone Circuit,Silverstone,UK,2020-08-09,13:10:00Z
6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,2020-08-16,13:10:00Z
7,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,2020-08-30,13:10:00Z
8,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,2020-09-06,13:10:00Z
9,Tuscan Grand Prix,Autodromo Internazionale del Mugello,Mugello,Italy,2020-09-13,13:10:00Z
10,Russian Grand Prix,Sochi Autodrom,Sochi,Russia,2020-09-27,11:10:00Z
11,Eifel Grand Prix,Nürburgring,Nürburg,Germany,2020-10-11,13:10:00Z
12,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,2020-10-25,12:10:00Z
13,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,2020-11-01,12:10:00Z
14,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,2020-11-15,10:10:00Z
15,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,2020-11-29,14:10:00Z
16,Sakhir Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,2020-12-06,17:10:00Z
17,Abu Dhabi Grand Prix,Yas Marina Circuit,Abu Dhabi,UAE,2020-12-13,13:10:00Z
