Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph),Status,Driver Code
1,1,Vettel,Sebastian,Ferrari,25,1:26.469,220.782,Finished,VET
1,2,Hamilton,Lewis,Mercedes,18,1:26.444,220.845,Finished,HAM
1,3,Räikkönen,Kimi,Ferrari,15,1:26.373,221.027,Finished,RAI
1,4,Ricciardo,Daniel,Red Bull,12,1:25.945,222.128,Finished,RIC
1,5,Alonso,Fernando,McLaren,10,1:26.978,219.489,Finished,ALO
1,6,Verstappen,Max,Red Bull,8,1:26.880,219.737,Finished,VER
1,7,Hülkenberg,Nico,Renault,6,1:27.081,219.230,Finished,HUL
1,8,Bottas,Valtteri,Mercedes,4,1:27.019,219.386,Finished,BOT
1,9,Vandoorne,Stoffel,McLaren,2,1:26.958,219.540,Finished,VAN
1,10,Sainz,Carlos,Renault,1,1:27.944,217.079,Finished,SAI
1,11,Pérez,Sergio,Force India,0,1:27.633,217.849,Finished,PER
1,12,Ocon,Esteban,Force India,0,1:27.600,217.931,Finished,OCO
1,13,Leclerc,Charles,Sauber,0,1:28.759,215.085,Finished,LEC
1,14,Stroll,Lance,Williams,0,1:28.511,215.688,Finished,STR
1,15,Hartley,Brendon,Toro Rosso,0,1:28.176,216.507,+1 Lap,HAR
1,16,Grosjean,Romain,Haas F1 Team,0,1:28.805,214.974,Wheel,GRO
1,17,Magnussen,Kevin,Haas F1 Team,0,1:29.534,213.224,Wheel,MAG
1,18,Gasly,Pierre,Toro Rosso,0,1:30.649,210.601,Engine,GAS
1,19,Ericsson,Marcus,Sauber,0,1:32.210,207.036,Steering,ERI
1,20,Sirotkin,Sergey,Williams,0,1:32.573,206.224,Brakes,SIR
2,1,Vettel,Sebastian,Ferrari,25,1:34.453,206.274,Finished,VET
2,2,Bottas,Valtteri,Mercedes,18,1:33.740,207.842,Finished,BOT
2,3,Hamilton,Lewis,Mercedes,15,1:33.953,207.371,Finished,HAM
2,4,Gasly,Pierre,Toro Rosso,12,1:34.863,205.382,Finished,GAS
2,5,Magnussen,Kevin,Haas F1 Team,10,1:34.327,206.549,Finished,MAG
2,6,Hülkenberg,Nico,Renault,8,1:34.667,205.807,Finished,HUL
2,7,Alonso,Fernando,McLaren,6,1:34.168,206.898,+1 Lap,ALO
2,8,Vandoorne,Stoffel,McLaren,4,1:35.131,204.803,+1 Lap,VAN
2,9,Ericsson,Marcus,Sauber,2,1:35.093,204.885,+1 Lap,ERI
2,10,Ocon,Esteban,Force India,1,1:35.043,204.993,+1 Lap,OCO
2,11,Sainz,Carlos,Renault,0,1:35.535,203.937,+1 Lap,SAI
2,12,Leclerc,Charles,Sauber,0,1:35.075,204.924,+1 Lap,LEC
2,13,Grosjean,Romain,Haas F1 Team,0,1:34.689,205.759,+1 Lap,GRO
2,14,Stroll,Lance,Williams,0,1:35.058,204.961,+1 Lap,STR
2,15,Sirotkin,Sergey,Williams,0,1:34.053,207.151,+1 Lap,SIR
2,16,Pérez,Sergio,Force India,0,1:35.266,204.513,+1 Lap,PER
2,17,Hartley,Brendon,Toro Rosso,0,1:34.563,206.034,+1 Lap,HAR
2,18,Räikkönen,Kimi,Ferrari,0,1:34.337,206.527,Wheel,RAI
2,19,Verstappen,Max,Red Bull,0,,,Puncture,VER
2,20,Ricciardo,Daniel,Red Bull,0,,,Electrical,RIC
3,1,Ricciardo,Daniel,Red Bull,25,1:35.785,204.871,Finished,RIC
3,2,Bottas,Valtteri,Mercedes,18,1:36.987,202.332,Finished,BOT
3,3,Räikkönen,Kimi,Ferrari,15,1:36.456,203.446,Finished,RAI
3,4,Hamilton,Lewis,Mercedes,12,1:36.878,202.559,Finished,HAM
3,5,Verstappen,Max,Red Bull,10,1:36.206,203.974,Finished,VER
3,6,Hülkenberg,Nico,Renault,8,1:36.881,202.553,Finished,HUL
3,7,Alonso,Fernando,McLaren,6,1:37.234,201.818,Finished,ALO
3,8,Vettel,Sebastian,Ferrari,4,1:37.479,201.311,Finished,VET
3,9,Sainz,Carlos,Renault,2,1:37.754,200.744,Finished,SAI
3,10,Magnussen,Kevin,Haas F1 Team,1,1:38.152,199.930,Finished,MAG
3,11,Ocon,Esteban,Force India,0,1:37.985,200.271,Finished,OCO
3,12,Pérez,Sergio,Force India,0,1:37.673,200.911,Finished,PER
3,13,Vandoorne,Stoffel,McLaren,0,1:38.137,199.961,Finished,VAN
3,14,Stroll,Lance,Williams,0,1:38.500,199.224,Finished,STR
3,15,Sirotkin,Sergey,Williams,0,1:38.624,198.973,Finished,SIR
3,16,Ericsson,Marcus,Sauber,0,1:38.386,199.455,Finished,ERI
3,17,Grosjean,Romain,Haas F1 Team,0,1:37.410,201.453,Finished,GRO
3,18,Gasly,Pierre,Toro Rosso,0,1:38.367,199.493,Finished,GAS
3,19,Leclerc,Charles,Sauber,0,1:38.808,198.603,Finished,LEC
3,20,Hartley,Brendon,Toro Rosso,0,1:39.376,197.468,Collision damage,HAR
4,1,Hamilton,Lewis,Mercedes,25,1:45.412,205.012,Finished,HAM
4,2,Räikkönen,Kimi,Ferrari,18,1:46.523,202.874,Finished,RAI
4,3,Pérez,Sergio,Force India,15,1:46.206,203.480,Finished,PER
4,4,Vettel,Sebastian,Ferrari,12,1:45.530,204.783,Finished,VET
4,5,Sainz,Carlos,Renault,10,1:46.856,202.242,Finished,SAI
4,6,Leclerc,Charles,Sauber,8,1:47.403,201.212,Finished,LEC
4,7,Alonso,Fernando,McLaren,6,1:47.449,201.126,Finished,ALO
4,8,Stroll,Lance,Williams,4,1:46.815,202.319,Finished,STR
4,9,Vandoorne,Stoffel,McLaren,2,1:47.666,200.720,Finished,VAN
4,10,Hartley,Brendon,Toro Rosso,1,1:48.288,199.567,Finished,HAR
4,11,Ericsson,Marcus,Sauber,0,1:47.925,200.239,Finished,ERI
4,12,Gasly,Pierre,Toro Rosso,0,1:48.035,200.035,Finished,GAS
4,13,Magnussen,Kevin,Haas F1 Team,0,1:48.155,199.813,Finished,MAG
4,14,Bottas,Valtteri,Mercedes,0,1:45.149,205.525,Puncture,BOT
4,15,Grosjean,Romain,Haas F1 Team,0,1:46.880,202.196,Accident,GRO
4,16,Verstappen,Max,Red Bull,0,1:45.771,204.316,Collision,VER
4,17,Ricciardo,Daniel,Red Bull,0,1:45.419,204.999,Collision,RIC
4,18,Hülkenberg,Nico,Renault,0,1:48.867,198.506,Accident,HUL
4,19,Ocon,Esteban,Force India,0,,,Collision,OCO
4,20,Sirotkin,Sergey,Williams,0,,,Collision,SIR
5,1,Hamilton,Lewis,Mercedes,25,1:19.133,211.770,Finished,HAM
5,2,Bottas,Valtteri,Mercedes,18,1:19.478,210.850,Finished,BOT
5,3,Verstappen,Max,Red Bull,15,1:19.422,210.999,Finished,VER
5,4,Vettel,Sebastian,Ferrari,12,1:19.128,211.783,Finished,VET
5,5,Ricciardo,Daniel,Red Bull,10,1:18.441,213.638,Finished,RIC
5,6,Magnussen,Kevin,Haas F1 Team,8,1:20.246,208.832,+1 Lap,MAG
5,7,Sainz,Carlos,Renault,6,1:21.324,206.064,+1 Lap,SAI
5,8,Alonso,Fernando,McLaren,4,1:20.727,207.588,+1 Lap,ALO
5,9,Pérez,Sergio,Force India,2,1:21.128,206.562,+2 Laps,PER
5,10,Leclerc,Charles,Sauber,1,1:22.122,204.062,+2 Laps,LEC
5,11,Stroll,Lance,Williams,0,1:22.095,204.129,+2 Laps,STR
5,12,Hartley,Brendon,Toro Rosso,0,1:21.439,205.773,+2 Laps,HAR
5,13,Ericsson,Marcus,Sauber,0,1:22.487,203.159,+2 Laps,ERI
5,14,Sirotkin,Sergey,Williams,0,1:22.680,202.685,+3 Laps,SIR
5,15,Vandoorne,Stoffel,McLaren,0,1:22.594,202.896,Gearbox,VAN
5,16,Ocon,Esteban,Force India,0,1:22.117,204.074,Oil leak,OCO
5,17,Räikkönen,Kimi,Ferrari,0,1:21.531,205.541,Turbo,RAI
5,18,Grosjean,Romain,Haas F1 Team,0,,,Collision,GRO
5,19,Gasly,Pierre,Toro Rosso,0,,,Collision,GAS
5,20,Hülkenberg,Nico,Renault,0,,,Collision,HUL
6,1,Ricciardo,Daniel,Red Bull,25,1:15.562,158.984,Finished,RIC
6,2,Vettel,Sebastian,Ferrari,18,1:16.065,157.933,Finished,VET
6,3,Hamilton,Lewis,Mercedes,15,1:16.270,157.508,Finished,HAM
6,4,Räikkönen,Kimi,Ferrari,12,1:16.392,157.257,Finished,RAI
